id	path	signal	sr_hz	f_target_hz	side	duty_param	morph	pw_depth	lfo_wave	f0_meas_hz	phi0_model	peak	channel	cable	warm	win	raw	samples	src
vco_b_sawmix_88200_440_m43750	vco_b_sawmix	-	88200.000000	440.000000	b	0.5	0.4375	0	-	439.63623046875	1.7959183673469388	0.43961284032893333	dry_b	none	8192	16384	gh19_s6_scn119.raw	24576	-
vco_b_sawmix_96000_440_m43750	vco_b_sawmix	-	96000.000000	440.000000	b	0.5	0.4375	0	-	439.453125	1.6499999999999999	0.43961264557080426	dry_b	none	8192	16384	gh19_s6_scn120.raw	24576	-
vco_a_sawmix_44100_440_m12500	vco_a_sawmix	-	44100.000000	440.000000	a	0.5	0.125	0	-	0	3.5918367346938775	0	dry_a	none	8192	16384	gh19_s6_scn121.raw	24576	-
vco_a_sawmix_48000_440_m12500	vco_a_sawmix	-	48000.000000	440.000000	a	0.5	0.125	0	-	0	3.2999999999999998	0	dry_a	none	8192	16384	gh19_s6_scn122.raw	24576	-
vco_a_sawmix_88200_440_m12500	vco_a_sawmix	-	88200.000000	440.000000	a	0.5	0.125	0	-	0	1.7959183673469388	0	dry_a	none	8192	16384	gh19_s6_scn123.raw	24576	-
vco_a_sawmix_96000_440_m12500	vco_a_sawmix	-	96000.000000	440.000000	a	0.5	0.125	0	-	0	1.6499999999999999	0	dry_a	none	8192	16384	gh19_s6_scn124.raw	24576	-
vco_a_sawmix_44100_440_m50000	vco_a_sawmix	-	44100.000000	440.000000	a	0.5	0.5	0	-	439.63623046875	3.5918367346938775	0.49999987312909427	dry_a	none	8192	16384	gh19_s6_scn125.raw	24576	-
vco_a_sawmix_48000_440_m50000	vco_a_sawmix	-	48000.000000	440.000000	a	0.5	0.5	0	-	439.453125	3.2999999999999998	0.5	dry_a	none	8192	16384	gh19_s6_scn126.raw	24576	-
vco_a_sawmix_88200_440_m50000	vco_a_sawmix	-	88200.000000	440.000000	a	0.5	0.5	0	-	439.63623046875	1.7959183673469388	0.4999998731290099	dry_a	none	8192	16384	gh19_s6_scn127.raw	24576	-
vco_a_sawmix_96000_440_m50000	vco_a_sawmix	-	96000.000000	440.000000	a	0.5	0.5	0	-	439.453125	1.6499999999999999	0.5	dry_a	none	8192	16384	gh19_s6_scn128.raw	24576	-
vco_b_sawmix_44100_440_m12500	vco_b_sawmix	-	44100.000000	440.000000	b	0.5	0.125	0	-	0	3.5918367346938775	0	dry_b	none	8192	16384	gh19_s6_scn129.raw	24576	-
vco_b_sawmix_48000_440_m12500	vco_b_sawmix	-	48000.000000	440.000000	b	0.5	0.125	0	-	0	3.2999999999999998	0	dry_b	none	8192	16384	gh19_s6_scn130.raw	24576	-
vco_b_sawmix_88200_440_m12500	vco_b_sawmix	-	88200.000000	440.000000	b	0.5	0.125	0	-	0	1.7959183673469388	0	dry_b	none	8192	16384	gh19_s6_scn131.raw	24576	-
