id	sr_hz	mode	res	norm	lvl	freq_hz	channel	amp_rms	amp_peak	f0_meas_hz	noise_rms	window	ok	signal
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f800	44100	lp	1	0.05	0.05	800	wetL	8.03429189e-05	0.000289542217	340.493774	7.94396952e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f800	44100	lp	1	0.05	0.2	800	wetL	0.000320655255	0.00115556661	340.493774	0.000317052294	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f1200	44100	lp	0	0.05	0.05	1200	wetL	7.10194384e-06	1.00440782e-05	1200.47607	1.38287992e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f1200	44100	lp	0	0.05	0.2	1200	wetL	2.83369696e-05	4.00724381e-05	1200.47607	5.5177325e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f1200	44100	lp	0.5	0.05	0.05	1200	wetL	7.09404286e-06	1.00996012e-05	1200.47607	1.37372228e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f1200	44100	lp	0.5	0.05	0.2	1200	wetL	2.83054444e-05	4.02940544e-05	1200.47607	5.48119325e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f1200	44100	lp	1	0.05	0.05	1200	wetL	5.28670454e-05	0.000188444745	374.139404	5.41102234e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f1200	44100	lp	1	0.05	0.2	1200	wetL	0.000210997405	0.000752089932	374.139404	0.000215956402	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f1600	44100	lp	0	0.05	0.05	1600	wetL	4.00368177e-06	5.6620145e-06	1600.18616	6.06219551e-06	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f1600	44100	lp	0	0.05	0.2	1600	wetL	1.59748107e-05	2.25894599e-05	1600.18616	2.41883426e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f1600	44100	lp	0.5	0.05	0.05	1600	wetL	3.99784526e-06	5.7127557e-06	1600.18616	6.14025778e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f1600	44100	lp	0.5	0.05	0.2	1600	wetL	1.59515228e-05	2.27919815e-05	1600.18616	2.44998135e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f1600	44100	lp	1	0.05	0.05	1600	wetL	3.94144464e-05	0.000139329167	378.17688	3.96932272e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f1600	44100	lp	1	0.05	0.2	1600	wetL	0.00015730647	0.000556068116	378.17688	0.000158418513	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f2500	44100	lp	0	0.05	0.05	2500	wetL	1.65051387e-06	2.33409088e-06	2499.19739	9.58551503e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f2500	44100	lp	0	0.05	0.2	2500	wetL	6.58559992e-06	9.31215818e-06	2499.19739	3.82464957e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f2500	44100	lp	0.5	0.05	0.05	2500	wetL	1.647655e-06	2.36651234e-06	2499.19739	9.90514941e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f2500	44100	lp	0.5	0.05	0.2	2500	wetL	6.57419296e-06	9.44155759e-06	2499.19739	3.95218464e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f2500	44100	lp	1	0.05	0.05	2500	wetL	2.49897558e-05	8.73354261e-05	348.568726	2.49572461e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f2500	44100	lp	1	0.05	0.2	2500	wetL	9.97349993e-05	0.00034855588	348.568726	9.96053181e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f3500	44100	lp	0	0.05	0.05	3500	wetL	8.50768235e-07	1.20322125e-06	3499.14551	1.48118851e-06	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f3500	44100	lp	0	0.05	0.2	3500	wetL	3.39459084e-06	4.80036538e-06	3499.14551	5.9099866e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f3500	44100	lp	0.5	0.05	0.05	3500	wetL	8.49215186e-07	1.22813868e-06	3499.14551	1.48474953e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f3500	44100	lp	0.5	0.05	0.2	3500	wetL	3.38839413e-06	4.89981253e-06	3499.14551	5.9241952e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f3500	44100	lp	1	0.05	0.05	3500	wetL	1.76465045e-05	6.13008597e-05	362.026978	1.76897269e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f3500	44100	lp	1	0.05	0.2	3500	wetL	7.04261169e-05	0.000244646501	362.026978	7.0598537e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f4500	44100	lp	0	0.05	0.05	4500	wetL	5.21689881e-07	7.37646802e-07	4500.43945	1.01240731e-06	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f4500	44100	lp	0	0.05	0.2	4500	wetL	2.08155834e-06	2.94287345e-06	4500.43945	4.03953565e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f4500	44100	lp	0.5	0.05	0.05	4500	wetL	5.20720115e-07	7.5572433e-07	4500.43945	1.00904197e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f4500	44100	lp	0.5	0.05	0.2	4500	wetL	2.07768895e-06	3.01501942e-06	4500.43945	4.02610784e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f4500	44100	lp	1	0.05	0.05	4500	wetL	1.35271332e-05	4.68298348e-05	362.026978	1.35549999e-05	16384	1	-
